variable_name	data_type
ID	META VARIABLES
Day	META VARIABLES
ID_Day	META VARIABLES
baseID	META VARIABLES
Sex	META VARIABLES
Age	META VARIABLES
AgeBracket	META VARIABLES
Rechallenge	META VARIABLES
Homesample	META VARIABLES
Pneumococcal_vaccine	META VARIABLES
Pneumococcal_vaccine_date	META VARIABLES
Ex_smoker	META VARIABLES
HTN	META VARIABLES
Renal_disease	META VARIABLES
Prev_malignancy	META VARIABLES
Statin	META VARIABLES
Charlson_index	META VARIABLES
Charlson_index_ignoring_age	META VARIABLES
Natural_Carrier	MICROBIOLOGY DATA
Experimental_Carrier	MICROBIOLOGY DATA
Serotype	MICROBIOLOGY DATA
Date_of_Inoculation	MICROBIOLOGY DATA
Bacterial_Strain	MICROBIOLOGY DATA
Inoculation_Dose_CFU_ul	MICROBIOLOGY DATA
NW_pellet_CFU_ul	MICROBIOLOGY DATA
pellet_volume_uL	MICROBIOLOGY DATA
CFU_STGG_pellet	MICROBIOLOGY DATA
NW_volume_mL	MICROBIOLOGY DATA
NW_CFU_mL	MICROBIOLOGY DATA
AUC0_2	MICROBIOLOGY DATA
AUC2_7	MICROBIOLOGY DATA
AUC7_9	MICROBIOLOGY DATA
AUC9_14	MICROBIOLOGY DATA
AUC14_22	MICROBIOLOGY DATA
AUC22_29	MICROBIOLOGY DATA
AUC0_29	MICROBIOLOGY DATA
AUC0_14	MICROBIOLOGY DATA
serum6BCPSIgG	ANTIBODY DATA
NW6BCPSIgG	ANTIBODY DATA
Rechallserum6BCPSIgG	ANTIBODY DATA
CbpA	MSD DATA
LytC	MSD DATA
PcsB	MSD DATA
PhtD	MSD DATA
PsaA	MSD DATA
SP0609	MSD DATA
SP2027	MSD DATA
SP2194	MSD DATA
StkP	MSD DATA
LytB	MSD DATA
PcpA	MSD DATA
PhtD_1	MSD DATA
PhtE	MSD DATA
PiuA	MSD DATA
PspA_F2	MSD DATA
RrgA_T4	MSD DATA
RrgB_6B	MSD DATA
WtPly	MSD DATA
NanA	MSD DATA
PiaA	MSD DATA
Ply	MSD DATA
PspA_F1	MSD DATA
RrgB_23F	MSD DATA
RrgB_T4	MSD DATA
Spr0057	MSD DATA
Spr0096	MSD DATA
Spr2021	MSD DATA
BloodNeutrophilOPKActivity	NEUTROPHIL ACTIVITY
NW_MPO	NEUTROPHIL ACTIVITY
EGF	NASOSORP CYTOKINES
Eotaxin	NASOSORP CYTOKINES
FGF_basic	NASOSORP CYTOKINES
G_CSF	NASOSORP CYTOKINES
GM_CSF	NASOSORP CYTOKINES
HGF	NASOSORP CYTOKINES
IFN_a	NASOSORP CYTOKINES
IFN_g	NASOSORP CYTOKINES
IL_10	NASOSORP CYTOKINES
IL_12	NASOSORP CYTOKINES
IL_13	NASOSORP CYTOKINES
IL_15	NASOSORP CYTOKINES
IL_17	NASOSORP CYTOKINES
IL_1b	NASOSORP CYTOKINES
IL_1RA	NASOSORP CYTOKINES
IL_2	NASOSORP CYTOKINES
IL_2R	NASOSORP CYTOKINES
IL_4	NASOSORP CYTOKINES
IL_5	NASOSORP CYTOKINES
IL_6	NASOSORP CYTOKINES
IL_7	NASOSORP CYTOKINES
IL_8	NASOSORP CYTOKINES
IP_10	NASOSORP CYTOKINES
MCP_1	NASOSORP CYTOKINES
MIG	NASOSORP CYTOKINES
MIP_1a	NASOSORP CYTOKINES
MIP_1b	NASOSORP CYTOKINES
Rantes	NASOSORP CYTOKINES
TNF_a	NASOSORP CYTOKINES
VEGF	NASOSORP CYTOKINES
EpithelialNumber	NASAL CELL IMMUNOPHENOTYPING
HLADRMFIEpithelial	NASAL CELL IMMUNOPHENOTYPING
ImmuneNumber	NASAL CELL IMMUNOPHENOTYPING
GranulocyteNumber	NASAL CELL IMMUNOPHENOTYPING
CD16MFIGranulocyte	NASAL CELL IMMUNOPHENOTYPING
CD107aMFIGranulocyte	NASAL CELL IMMUNOPHENOTYPING
CD66bMFIGranulocyte	NASAL CELL IMMUNOPHENOTYPING
HLADRMFIGranulocyte	NASAL CELL IMMUNOPHENOTYPING
EosinophilNumber	NASAL CELL IMMUNOPHENOTYPING
NeutrophilNumber	NASAL CELL IMMUNOPHENOTYPING
CD16HiNeutroNumber	NASAL CELL IMMUNOPHENOTYPING
CD66bHiNeutroNumber	NASAL CELL IMMUNOPHENOTYPING
HLADRPosNeutroNumber	NASAL CELL IMMUNOPHENOTYPING
CD107aPosNeutroNumber	NASAL CELL IMMUNOPHENOTYPING
NonGranImmuneNumber	NASAL CELL IMMUNOPHENOTYPING
LymphocyteNumber	NASAL CELL IMMUNOPHENOTYPING
CD8TNumber	NASAL CELL IMMUNOPHENOTYPING
ConvCD8TNumber	NASAL CELL IMMUNOPHENOTYPING
