"gene_id"	"S00218486B"	"S00218889B"	"S00220554B"	"S00221080B"	"S00222018B"	"S00222501B"	"S00223305B"	"S00223716B"	"S00224138B"	"S00232653B"	"S00233470B"	"S00281191B"	"S00281212B"	"S00281218B"	"S00281222B"	"S00281231B"
"ENSG00000000003"	1951	3000	1967	3971	1130	1718	1813	1139	1339	2219	3323	477	2801	1186	1458	2363
"ENSG00000000005"	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000000419"	300	335	427	404	224	351	305	206	430	274	385	68	276	190	283	346
"ENSG00000000457"	379	374	233	239	212	281	332	115	236	318	259	48	266	147	252	280
"ENSG00000000460"	76	39	29	33	34	86	62	33	66	36	59	15	55	23	57	32
"ENSG00000000938"	49	95	66	27	442	55	46	12	122	63	59	8	64	26	44	28
"ENSG00000000971"	2709	2582	2339	1882	1654	3315	2654	1250	2402	1563	1752	614	2031	1219	2312	1633
"ENSG00000001036"	546	584	464	380	426	383	504	270	411	395	436	133	498	163	383	372
"ENSG00000001084"	1733	3286	3525	2396	1648	2363	1738	1174	1534	3305	3888	674	3087	1935	2613	2290
"ENSG00000001167"	298	279	184	158	257	241	300	148	240	190	143	57	178	94	181	166
"ENSG00000001460"	310	385	205	752	100	152	140	119	170	280	537	53	303	283	156	593
"ENSG00000001461"	1179	1082	1005	743	790	1013	1091	636	928	900	1020	235	965	355	785	907
"ENSG00000001497"	451	366	288	430	221	314	338	211	350	258	395	106	348	138	288	349
"ENSG00000001561"	1352	2067	1375	2573	1290	1298	1586	952	1174	1449	2209	298	1568	823	1062	1544
"ENSG00000001617"	1636	1095	851	651	1108	1214	1196	570	1163	769	645	399	834	419	841	875
"ENSG00000001626"	173	130	62	375	131	211	156	125	359	113	211	47	127	87	144	248
"ENSG00000001629"	792	891	727	783	607	864	801	442	669	702	777	166	736	429	745	598
"ENSG00000001630"	22	18	8	33	2	5	17	9	14	10	11	5	13	0	31	13
"ENSG00000001631"	428	472	211	513	183	357	266	165	205	241	393	64	349	224	287	445
"ENSG00000002016"	68	84	28	53	54	40	53	14	25	17	71	14	27	29	27	36
"ENSG00000002079"	9	1	0	7	4	2	8	6	4	10	3	0	6	5	7	8
"ENSG00000002330"	224	173	128	163	121	95	146	95	134	161	192	57	126	79	123	145
"ENSG00000002549"	1194	1274	1199	1485	705	1085	1334	578	898	1111	1560	228	1069	1276	1043	1068
"ENSG00000002586"	858	848	750	1184	424	855	793	503	835	1200	1265	142	674	247	316	938
"ENSG00000002587"	1137	1213	1833	1033	1227	1530	1164	639	1419	944	848	344	647	663	663	619
"ENSG00000002726"	14	93	41	10	4	27	12	44	36	4	6	4	30	0	6	23
"ENSG00000002745"	0	2	2	0	0	0	1	0	2	0	2	0	1	0	0	2
"ENSG00000002746"	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
"ENSG00000002822"	190	115	75	88	113	102	148	70	136	94	120	48	84	50	90	115
"ENSG00000002834"	2987	2658	2842	2917	2999	2691	3075	1865	2605	2103	2527	853	2512	1314	2247	2273
"ENSG00000002919"	238	152	197	186	144	182	253	99	128	163	191	38	184	61	154	148
"ENSG00000002933"	49	35	35	31	48	21	25	40	50	31	10	4	36	33	26	16
"ENSG00000003056"	714	716	530	623	476	662	659	368	707	465	657	154	595	252	449	546
"ENSG00000003096"	20	44	11	139	18	20	12	14	28	39	94	8	40	30	12	82
"ENSG00000003137"	22	14	16	11	8	51	16	17	22	26	14	0	18	18	28	14
"ENSG00000003147"	342	359	250	374	318	253	278	211	252	205	287	131	226	181	232	201
"ENSG00000003249"	259	199	167	85	133	180	215	86	118	133	139	48	216	67	85	84
"ENSG00000003393"	397	367	344	430	210	346	334	189	247	304	411	58	379	194	248	366
"ENSG00000003400"	307	317	227	228	179	159	201	126	298	145	226	49	218	127	195	223
"ENSG00000003402"	1656	2051	1989	2612	1502	1736	1481	831	1440	1605	2093	402	1760	1324	1270	1777
"ENSG00000003436"	86	116	77	61	89	106	110	26	61	72	22	22	72	28	80	43
"ENSG00000003509"	113	114	83	122	73	127	106	76	104	105	145	40	109	60	147	101
"ENSG00000003756"	938	823	454	660	550	667	546	285	377	537	717	243	744	559	612	507
"ENSG00000003987"	34	21	17	56	8	38	17	16	7	15	48	6	32	17	14	29
"ENSG00000003989"	177	235	231	1640	78	253	139	150	91	909	1628	54	445	592	110	902
"ENSG00000004059"	938	809	743	623	590	718	772	418	625	819	600	221	630	241	519	666
"ENSG00000004139"	130	117	69	123	54	83	100	43	75	69	86	34	94	71	100	111
"ENSG00000004142"	1215	1042	924	802	835	1112	1116	616	1262	1020	1056	272	781	375	723	766
"ENSG00000004399"	227	74	85	49	132	133	83	64	106	101	55	44	59	77	106	62
"ENSG00000004455"	951	990	920	724	700	1032	1073	566	1299	898	783	290	724	356	674	628
"ENSG00000004468"	345	408	224	1245	161	124	78	149	100	297	470	32	507	606	360	609
"ENSG00000004478"	599	546	505	546	436	472	903	602	1040	372	435	133	432	259	376	529
"ENSG00000004487"	891	898	620	800	463	759	621	413	637	558	825	210	772	353	579	707
"ENSG00000004534"	558	609	325	704	371	617	436	284	435	347	609	243	611	473	482	340
"ENSG00000004660"	115	73	110	64	50	150	60	51	78	94	76	24	73	32	67	97
"ENSG00000004700"	209	280	157	200	138	251	188	126	220	192	248	45	252	107	191	159
"ENSG00000004766"	393	320	210	296	180	219	283	154	256	182	237	47	275	162	208	234
"ENSG00000004776"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004777"	92	59	26	105	27	32	8	27	24	38	98	25	58	92	29	33
"ENSG00000004779"	302	369	266	458	194	316	321	226	352	367	406	90	332	158	244	356
"ENSG00000004799"	164	179	120	346	66	22	42	34	24	180	260	38	127	110	105	147
"ENSG00000004809"	10	22	2	352	34	4	2	0	2	2	10	0	82	2	18	173
"ENSG00000004838"	1525	1391	597	2926	294	281	182	436	271	935	2132	204	1351	1389	673	2028
"ENSG00000004846"	4	0	0	12	2	0	0	4	6	3	2	0	6	0	0	0
"ENSG00000004848"	14	37	4	58	6	2	2	11	6	7	40	2	16	7	2	68
"ENSG00000004864"	374	330	314	304	230	377	309	186	381	299	343	99	253	173	270	262
"ENSG00000004866"	202	180	236	229	122	157	140	116	170	166	202	58	174	96	131	167
"ENSG00000004897"	577	622	582	525	369	622	526	340	528	497	616	88	599	256	482	493
"ENSG00000004939"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004948"	0	0	2	0	0	2	0	0	8	0	0	0	0	0	2	2
"ENSG00000004961"	363	342	351	277	193	272	338	136	287	267	354	76	250	171	260	278
"ENSG00000004975"	369	313	240	311	235	256	279	157	238	221	345	111	286	205	223	340
"ENSG00000005001"	1441	2050	1888	549	2348	1476	1563	775	1550	1687	854	758	1202	279	565	755
"ENSG00000005007"	2517	3330	2424	3011	2491	1702	2027	1250	1519	1751	2432	843	2231	1384	2151	2647
"ENSG00000005020"	34	55	30	43	102	44	68	28	66	24	36	11	47	27	28	66
"ENSG00000005022"	2188	2004	2272	1618	1223	2481	2279	1342	2666	2029	2152	605	1707	655	1662	1936
"ENSG00000005059"	132	152	125	122	78	121	163	61	140	106	125	26	178	98	98	69
"ENSG00000005073"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"ENSG00000005075"	338	249	203	282	178	185	264	134	251	235	238	51	160	105	160	229
"ENSG00000005100"	336	286	264	202	192	331	294	176	404	242	244	83	268	87	211	162
"ENSG00000005102"	64	14	12	10	20	38	19	16	20	6	10	4	20	10	16	14
"ENSG00000005108"	164	87	66	57	71	60	75	51	24	49	34	4	25	1	36	58
"ENSG00000005156"	290	267	188	503	169	200	212	169	284	136	218	70	232	210	248	319
"ENSG00000005175"	329	483	347	580	207	358	312	201	332	352	501	76	383	193	308	465
"ENSG00000005187"	20	25	19	24	15	20	17	15	10	14	31	4	23	20	23	34
"ENSG00000005189"	141	123	93	136	46	79	70	61	54	84	153	26	153	101	124	88
"ENSG00000005194"	296	324	271	198	148	250	297	149	325	291	218	92	261	119	185	224
"ENSG00000005206"	606	625	297	625	328	330	292	214	183	317	590	188	511	583	292	319
"ENSG00000005238"	513	613	445	278	548	531	364	235	415	490	344	167	365	151	303	264
"ENSG00000005243"	62	67	35	78	62	123	84	65	83	77	57	19	65	18	44	50
"ENSG00000005249"	1923	2080	1447	603	598	1510	1781	704	1338	1253	1140	331	1612	340	1234	1162
"ENSG00000005302"	450	476	255	438	269	322	287	206	319	288	402	119	404	303	282	394
"ENSG00000005339"	1907	1537	1512	1137	1383	1457	1427	744	1093	1220	1546	449	1458	653	1121	1267
"ENSG00000005379"	419	495	218	833	156	239	150	121	88	303	662	123	492	449	229	425
"ENSG00000005381"	5	2	0	0	4	0	2	1	0	0	4	0	2	4	0	0
"ENSG00000005421"	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0
"ENSG00000005436"	183	185	138	257	87	152	206	88	153	132	168	47	169	85	135	219
"ENSG00000005448"	532	528	211	942	135	116	107	132	75	355	786	81	463	473	236	714
"ENSG00000005469"	589	688	603	454	475	759	708	403	582	406	491	136	622	219	436	487
"ENSG00000005471"	17	8	5	19	5	25	12	0	2	4	3	3	11	6	9	12
"ENSG00000005483"	1455	1768	1622	1370	1176	1582	1246	717	1010	1012	1281	361	1177	540	1006	1229
"ENSG00000005486"	2171	2178	1493	1966	1288	1409	1589	892	1025	2146	2469	537	1836	637	1320	2006
"ENSG00000005513"	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000005700"	1794	2388	1981	1871	1541	1613	2125	1092	1534	1799	2110	478	2282	692	2212	1458
"ENSG00000005801"	158	166	171	152	115	194	199	92	197	182	221	44	100	101	151	135
"ENSG00000005810"	1026	778	714	634	460	900	728	439	698	590	718	196	761	508	949	625
"ENSG00000005812"	412	549	543	621	239	520	479	236	469	540	615	90	485	184	378	457
"ENSG00000005844"	142	130	53	148	187	68	46	10	50	48	123	47	93	143	146	58
"ENSG00000005882"	219	159	77	205	110	99	146	92	116	132	149	41	124	43	124	128
